
"Id","Nombre","PrecioRebaja","PrecioNormal","Imagen","Modelo","Categoria","Subcategoria"
"1","Panel Interruptor","$ 249.28","$ 415.47","ASSETS\vo-22566510_panel_interruptor_volvo.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"2","Consola",,"$ 307.04","ASSETS\vo82440282_1.png","Camiones Volvo","FM - FMX","Eléctrico"
"3","Tuerca",,"$ 2.73","ASSETS\tuerca_1.png","Camiones Volvo","FM - FMX","Eléctrico"
"4","Interruptor",,"$ 165.64","ASSETS\interruptor.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"5","Conmutador",,"$ 438.71","ASSETS\vo21670857_1.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"6","Interruptor",,"$ 311.11","ASSETS\vo21005294_1.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"7","Protector",,"$ 88.92","ASSETS\vo82423087_1.png","Camiones Volvo","FM - FMX","Eléctrico"
"8","Bocina",,"$ 156.82","ASSETS\vo23150684_1.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"9","Correa En V",,"$ 89.86","ASSETS\vo22275091_-_001.png","Camiones Volvo","FM - FMX","Eléctrico"
"10","Faro Principal - Lado Derecho",,"$ 1,080.75","ASSETS\vo-22239217_1.png","Camiones Volvo","FM - FMX","Eléctrico"
"11","Sensor De Presión",,"$ 337.26","ASSETS\vo21634024_-_001_1.png","Camiones Volvo","FM - FMX","Eléctrico"
"12","Batería Volvo 170 Ah CCA 1000 A Con Mantenimiento",,"$ 938.99","ASSETS\bateria_11.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"13","Instrumento Combinado",,"$ 2,349.27","ASSETS\vo22174422_-_001.png","Camiones Volvo","FM - FMX","Eléctrico"
"14","Interruptor",,"$ 93.87","ASSETS\small_image.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"15","Interruptor",,"$ 93.87","ASSETS\small_image.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"16","Interruptor",,"$ 93.87","ASSETS\small_image.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"17","Alternador","$ 800.58","$ 1,334.30","ASSETS\vo21429782_-_001.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"18","Sensor De Velocímetro","$ 231.83","$ 356.67","ASSETS\vo24162657_-_001.png","Camiones Volvo","FM - FMX","Eléctrico"
"19","Faro Combinado Izquierdo",,"$ 197.28","ASSETS\faro-combinado-vo-21761288-volvo.jpg","Camiones Volvo","FM - FMX","Eléctrico"
"20","Alternador","$ 1,582.86","$ 2,110.49","ASSETS\picture2_2.jpg","Camiones Volvo","FM - FMX","Eléctrico"
